fon|fr|sentiment_final
Bɔ ɖyɔ̌vǐ ɔ́ yí gbe n'i ɖɔ: “Betuwɛ́li ví wɛ nú mì. Miluka wɛ ji tɔ́ ce nú Naxɔ́ɔ.”|Elle répondit: Je suis fille de Bethuel, fils de Milca et de Nachor.|0
towe jăwè nú wè|cela t'arrivera aussi|1
yovózɛn ɖe à|y a-t-il des oranges|0
Filisitɛ́ɛn lɛ́ɛ lɔmɔ̌ wá byɔ́ toxo e ɖo ayǐkúngban wɛnjɛ jí ɖo Judáa sín afɔligbé lɛ́ɛ mɛ. Yě yǐ Bɛti-Cɛmɛ́ci, Ayalɔ́ni, Gedelɔ́ti, Soko, Timuna, Gimuzo kpó gletoxo e lɛ́ dó yě lɛ́ɛ kpó, bó jɛ agban ɖó toxo énɛ́ lɛ́ɛ mɛ.|28.18|0
a ɖò to ɔ mɛ à|comment vas|0
nɛ nuɖuɖu ɔ ɖe gbɔn|comment est le repas|0
é sɔ́gbe pɛ́pɛ́pɛ́|c'est absolument exact|0
bó dó sá hwɛsɔ́kɛmɛvɔ́ ná, bó ná sɔ́ wegɔ́ ɔ́ kpó linfín e mɛ ɔ́ ná ɔ́ kpó dó sá vɔ̌ e è nɔ dó zo ɔ́ ná, bó ná bló lě e è nɔ bló gbɔn, bó nɔ́ xwlé vɔ̌sánú Mawu Mavɔmavɔ ɔ́ dó súnsún hwɛ sín kɔ n'i ɖo Mawu Mavɔmavɔ nukɔn.”|l'un en sacrifice d'expiation, l'autre en holocauste, avec l'offrande; et le sacrificateur fera pour celui qui se purifie l'expiation devant l'Éternel.|0
é d'áwù zɛɛ̀|elle a mis robe très ample|0
E gbà ayi tɔn dó|Cela l'a beaucoup troublé.|1
Or e ka nyi mɛ ɖe bo... bɔ mɛ ɖe nɔ kpɔn e ji sɔ mɔ ɖe a|Or ce sont des personnes et personne ne s’intéresse ainsi à elles|1
Mawu Mavɔmavɔ ɖo jǐ ce, un ɖi xɛsi ǎ. Étɛ́ gbɛtɔ́ ka sixú wa nú mì?|Le Seigneur est pour moi, je n’ai pas peur : que peuvent me faire des humains ?|0
Hwezivɔ́ hún gáɖágáɖá|Le soleil est très fort.|0
Bɔ nǔ ká nyí mɔ̌ nǔgbó. Ayǐhɔ́ngbe zǎnzǎn ɔ́, Jedenyɔ́ɔ yi zé gbɔ̌fún ɔ́ bó fyɔ́n, bɔ sin e gosín mɛ ɔ́ gɔ́ sinnugannú ɖokpó.|Et il arriva ainsi. Le jour suivant, il se leva de bon matin, pressa la toison, et en fit sortir la rosée, qui donna de l'eau plein une coupe.|0
Nǔxixa sín wlɛnwín.|Stratégie de vente.|0
E ɖo te, alɔ ɖo zɛnzɛn ɖo kpo ji|Il se tenait debout, la main appuyée sur une canne.|0
Un mɔ wema mitɔn bɔ un ɖo ɖiɖɔ wɛ ɖɔ un na wa kplé nukplɔnmɛ tɔn ɔ ɖo lεnkpɔn zanzan.|J’ai bien reçu votre courrier et je vous confirme ma présence à la réunion de direction de lundi matin.|0
mi xɔ menthe gba ɖokpo|vous avez acheté un paquet de menthe|0
e wlá kwɛ́|il s'est précipité sur l'argent|1
yè kó ɖù làn ɔ́ bó kɔ̀n xú|ils ont fini de manger|0
a ɖe mì kpò|tu m'as déconsidéré|1
Dŏ zò nú macinú ɔ́|Mets le moteur en marche.|0
Kplɔ́n nǔ dó agbahwlɛnhwlɛn ɔ wu.|Étudier la concurrence.|0
Mi d'asa tɔ ɔ.|Nous avons traversé le lac|0
Mi lɛ́ kɔ yi to mitɔn mɛ bó jó mì dó; un ko kpo; un sɔ́ sixú vɔ́ asú da ǎ. Ényí un tlɛ ɖɔ: vǐ kpo ɖo wǔ ce, lobo yi xɔ nú súnnu zǎn mɛ din bó ji vǐ ɔ́,|Retournez, mes filles, allez ! Je suis trop vieille pour me remarier. Et quand je dirais : J'ai de l'espérance ; quand cette nuit même je serais avec  un mari, et que j'enfanterais des fils,|1
e xá d'ásá|il a les jambes arquées|0
Awu ce gege ɖe lɛ kwiji bɔ un jlo na nya|Beaucoup de mes habits sont sales et je veux les laver|1
Un na ɖó hudo dotóo e nɔ dó Glɛnsigbe, bo nɔ yawu yí azinzɔnnɔ yɔyɔ̌ lɛ é tɔn.|J’aurais besoin d’un médecin généraliste qui parle anglais et qui reçoit de nouveaux patients rapidement.|0
A nǎ má nǔ lɛ́ɛ nú ahwanfuntɔ́ e yi fun ahwan lɛ́ɛ kpó togun ɔ́ bǐ kpó.|Partage le butin entre les combattants qui sont allés à l'armée et toute l'assemblée.|0
Mawu Mavɔmavɔ, è sixú jlɛ́ we dó nǔmɛsɛn ɖěbǔ wú ǎ. Xó e è ɖɔ bɔ mǐ se lɛ́ɛ bǐ ɖe xlɛ́ ɖɔ Mawu ɖěvo kún tíin zɛ hwɛ wú ó.|O Éternel !nul n'est semblable à toi et il n'y a point d'autre Dieu que toi, d'après tout ce que nous avons entendu de nos oreilles.|2
nyibusi ɖokpo yi zɔ ɖo gbε tɔn lε cuku ɔ jε nyinyε ji|une vache s'éloigne de son troupeau le chien lui donne la chasse|0
jɔhɔn nyì vuzuvuzù|le vent a soufflé avec violence|0
mi na mɔ ɛ sɔ|on le reverra demain|0
Akwε taa han asi tɔn|De peur que l'argent ne manque à sa femme.|0
Xɔntɔn lε kpe bo ɖo alɔ na e ɖe wε|Les amis se rencontrent et se serrent la main.|0
Ayǐhɔ́ngbe tɔn ɔ́, mɛxó ɔ́ ɖɔ nú mɛ kpɛví ɔ́ ɖɔ: “Nyɛ kpó tɔ́ mǐtɔn kpó ɖɔ éé ɖo mɔ̌ é zǎn mɛ. É jɛ zǎn mɛ ɔ́, mǐ ná lɛ́ ɖó vɛ̌ɛn kɔ jí n'i, bɔ é ná nu mú, bɔ a nǎ yi mlɔ́ akpá tɔn, bɔ hwi lɔ ná sixú hɛn tɔ́ mǐtɔn sín kún ɖó te.”|Le lendemain, l'aînée dit à la plus jeune: Voici, j'ai couché la nuit dernière avec mon père; faisons-lui boire du vin encore cette nuit, et va coucher avec lui, afin que nous conservions la race de notre père.|1
Xwé ce ɖò kɔ́nna mɛ̀ fínɛ́|Ma maison est dans le virage.|0
Bɔ vɔ̌sánú-xwlémawutɔ́ ɔ́ ná kpɔ́n fí e nǔ ɔ́ ɖe ɔ́. Nú é mɔ ɖɔ nǔ tɔ́n ɖo wǔ e tɔ́n ɖo akpa do ɔ́ mɛ ɔ́ wán do, bɔ fún e ɖ'é mɛ ɔ́ wé ɔ́, vɔ̌sánú-xwlémawutɔ́ ɔ́ ná ɖɔ ɖɔ mɛ blíblí wɛ mɛ ɔ́ nyí, ɖó gudu sín akpa wɛ tɔ́n ɖo akpa do ɔ́ mɛ.|Le sacrificateur l'examinera. Si la tache paraît plus enfoncée que la peau, et que le poil soit devenu blanc, le sacrificateur le déclarera impur: c'est une plaie de lèpre, qui a fait éruption dans l'ulcère.|0
Tócí adɔ̌kpo ɖě děgba we afɔwó afɔwe kanwe ko (30.500), bɔ è ɖe kanɖé ko-nukún-ɖokpó (61) sín mɛ nú Mavɔmavɔ.|trente mille cinq cents ânes, dont soixante et un pour le tribut à l'Éternel ;|0
Ée kɛntɔ́ Jwifu lɛ́ɛ tɔn Hamáa, Hamumɛdata ví e jɔ ɖo Agagi kún mɛ ɔ́ ɖɔ mɔ̌ ɔ́, axɔ́sú ɔ́ ɖe alɔgan sín alɔ, bó sɔ́ dó n'i,|Le roi ôta son anneau de la main, et le remit à Haman, fils d'Hammedatha, l'Agaguite, ennemi des Juifs.|1
un fɔ̀ dò kó tɔ̀n|j'ai découvert tout ce qu'il cachait|0
A ko ɖɔ nú mì ɖɔ émí ná ɖɔ xó, ɖɔ nyɛ ní ɖótó émí. A ɖɔ émí ná kan nǔ byɔ́ mì, bɔ nyɛ ná kplɔ́n nǔ émí.|Écoute-moi, et je parlerai ; Je t'interrogerai, et tu m'instruiras.|0
Wù má yá wé à ?|Est-ce que tu es bien portant ?|0
É nɔ́ xò sáwúngíɖó|Il se promène.|0
É kán wɔ̌ bayiì|Il a pris de la pâte en quantité.|0
A wa nɛ à ?|Te voilà ?|0
ɖìɖɔ́ - ɖùɖɔ́|lécher|0
Hɔntojɛ̀, hɔntojijɛ|Rite du viɖétɔ́n|0
Sɛkpɔ́ mì bó hwlɛ́n mì, hwlɛ̌n mì gán, ɖó kɛntɔ́ ce lɛ́ɛ wú.|Approche-toi de mon âme, délivre-la ! Sauve-moi, à cause de mes ennemis !|1
Gan e nɔ gan ε.|Il faut qu'il soit soutenu|1
un ba atinsinsɛn sin|je veux un jus de fruit|0
Nǔ cikɔ nú mì ɖó un d&#39;amlɔ ganji sɔ zanzan.|Je suis fatigué parce que j'ai très mal dormi cette nuit.|1
Tɔ énɛ́ ní nyí hwi ɖokpónɔ géé tɔn. Ma nú mɛ ɖěvo nu xá we ó.|Qu’ils soient pour toi seul, et non pour des étrangers avec toi.|0
É ɖò mɛ kannu|Il est chez un patron.|0
E vɛ|C'est difficile.|1
mε ɖokpo nyi 'atrice' ɖo ye mε|l'une d'elles est actrice|0
Un kó ɖù nŭ vɔ̀ ă|Je suis encore en train de manger.|0
Un ɖo wiwa yi wε.|Je ne fais que passer|0
é ɖó nú azɔ̀n|il l'a attribué à la maladie|0
E ko wa ă|Il n'est pas encore arrivé.|0
e ɖò é ɖókpɔ́nɔ́|il est seul|0
E xú galí ɔ́ nú mì|Elle m'a ajouté un supplément de gari.|0
Gbɛtɔ́ e ka kú lɛ́ɛ sukpɔ́, ɖó ahwan énɛ́ ɔ́ e yě fun ɔ́, Mawu wɛ fun. Bɔ yě jɛ agban ɖó Hagáa ví lɛ́ɛ sín tɛn mɛ káká wá jɛ hwenu e è wlǐ yě lɔmɔ̌ yi kannumɔgbénu é. Manasée ví e ɖo Judɛ́ɛn tɔ ɔ́ gúdo lɛ́ɛ|car il y eut beaucoup de morts, parce que le combat venait de Dieu. Et ils s'établirent à leur place jusqu'au temps où ils furent emmenés captifs.|2
bε̆ amăgà|ramasser des mangues par terre|0
bɔ kpatágan kpódó siká kpó, kpódó nǔxɔ-akwɛ́ e Dadá ɔ́ kpódó wěɖexámɛtɔ́ tɔn lɛ́ɛ, gǎn hɔn-yitɔ́ tɔn lɛ́ɛ, kpódó Izlayɛ́li ví e ɖo to ɔ́ mɛ lɛ́ɛ kpó ná ɖ'ayǐ nú Mawu mǐtɔn sín xwé ɔ́ lɛ́ɛ ɔ́, un da ɖo nukún yětɔn mɛ.|Je pesai devant eux l'argent, l'or, et les ustensiles, donnés en offrande pour la maison de notre Dieu par le roi, ses conseillers et ses chefs, et par tous ceux d'Israël qu'on avait trouvés.|0
é hú taga ɛ̀|il est plus grand que lui|0
bɔd’éwú - ɖŏ alɔ̀ wŭ - dŏ alɔ̀ wŭ kpɔ́n - hὲn kpɔ́n|tâter|0
Sɔ́ wema enɛ lɛ ɖó vo ganji sɔgbe xá wekwín lɛ cobo sɔ́ dó ganzɛ́n lɛ mɛ.|Triez soigneusement ces dossiers par ordre alphabétique avant de les classer dans les armoires métalliques.|0
Un gbɛ́ nyɔ̀ nú nɔ cè|J’ai refusé de faire plaisir à ma mère.|1
kpasatin lε bi ɖo foloo mε|tous les baobabs sont en fleur|0
Akwɛzinzan lɛ nɔ xlɛ́ ɖɔ akwɛzinzan ɖò ganji, bɔ enɛ nɔ zɔ́n bɔ mǐ nɔ lin tamɛ dó akwɛzinzan yɔyɔ̌ lɛ jí kpo fífá kpo.|Le bilan comptable fait apparaître une trésorerie saine, ce qui nous autorise à envisager sereinement de nouveaux investissements.|2
Un xwe wemaxɔmε Yaounde tɔn, amɔ nɔvi ce xwe  wemaxɔmε Côte d'Ivoire tɔn.|Je vais à l'université de yaoundé, mais mon frère va à l'université en Côte d’Ivoire|0
Mɛ we wɛ nɔ w'azɔ bo nɔ ɖo nukunnu|Deux personnes exercent une activité génératrice de revenus.|0
ɖè axì kpɔcɔnu|chercher à obtenir à vil prix|1
Gbade ganvi|Galette de mais|0
vi ɔ́ jɛ eké bó cí kɛ́ncɛ́nkɛ́ncɛ́n|l'enfant est chétif et maladif|1
vi ɖe nyi jiji ɖo gleta|un fils est né au village|0
paul mɛ ɖe nɔ jean ɖie|paul voici jean|0
yĕ bĭ hɛ̀n zohwín alɔ nu bo dó ɖò zàn dlɔ́ wɛ̀|ils tiennent chacun en main un flambeau pour la veillée|0
E víví káká bó tàn|C’est extrêmement bon.|2
Cɔ́ nukún towe lɛ.|Préservez votre vue.|0
Énɛ́ ɔ́, majíkiblótɔ́ lɛ́ɛ ɖɔ nú axɔ́sú ɔ́ ɖɔ: “Hlɔ̌nhlɔ́n Mawu tɔn wɛ ɖo nǔ wa wɛ ɖo fínɛ́.” Axɔ́sú ɔ́ ká lɛ́ tlí tó lě e Mawu Mavɔmavɔ kó ɖɔ gbɔn ɖ'ayǐ é; é wa nǔ e Mɔyízi kpó Aalɔ́ɔn kpó ɖɔ é ǎ.|Et les magiciens dirent à Pharaon: C'est le doigt de Dieu! Le coeur de Pharaon s'endurcit, et il n'écouta point Moïse et Aaron, selon ce que l'Éternel avait dit.|1
ku do hwemɛ|bon après|0
bε̆ adăn - bε̆ azɔ̀n - j'azɔ̀n - jὲ azɔ̀n - jὲ lanmὲ - lanmε wá nú mε|tomber malade|0
Mi gbɛtɔ́ e ɖo ayǐkúngban ɔ́ jí lɛ́ɛ e mi, mi sú xó sɛ́ dó Mawu Mavɔmavɔ kpódó awǎjijɛ kpó, mi ɖe xomɛhunhun mitɔn xlɛ́, mi ɖɔ xó lómílómí dó mlá nyǐkɔ tɔn dó han mɛ.|Acclame le Seigneur, terre entière ! Eclatez en cris de joie, chantez !|2
É ɖò sísɔ́sísɔ́ wɛ ɖó ninɔmɛ e è ma tuùn ǎ é enɛ wu.|Il tremble de peur devant cette situation inconnue.|1
Fitε a na yi ɖe ?|Où vas-tu ?|0
Ma zun mi o|Ne m'insulte pas|1
Ganxixo nabí a na dó fó azɔ̀ ɔ́ ná ?|Combien d’heures mettras-tu pour finir le travail ?|0
é ɖò gbatɛ sɔ́ wɛ̀|il fait le portefaix|0
E glɔn gbɔ tɔn lɛ do kpa mɛ|II a enfermé ses cabris dans l'enclos|0
kpɛn ɔ myá ganjí ă é kpa hlè|la papaye est tout juste mangeable|0
a kpé nù wú ɖésú|tu t'es acharné pour venir à bout de cette chose|1
Un ɖó kɛ́n jĭ tɔ̀n|Je l’estime beaucoup.|2
é kpé tú mɛ|il visa quelqu'un de son fusil|1
etɛ wutu a xɔ atinsinsɛn ɖokpo|pourquoi as-tu acheté un fruit|0
Mi nɔ ɖu nu ganji ɖo fi|On mange mal ici .|1
VAT e è nɔ zán é nyí kanɖé ɖò kanweko jí.|Le taux de TVA applicable est de vingt pour cent.|0
