ligne_brute,fon,fr,raison
5,"Filisitɛ́ɛn lɛ́ɛ lɔmɔ̌ wá byɔ́ toxo e ɖo ayǐkúngban wɛnjɛ jí ɖo Judáa sín afɔligbé lɛ́ɛ mɛ. Yě yǐ Bɛti-Cɛmɛ́ci, Ayalɔ́ni, Gedelɔ́ti, Soko, Timuna, Gimuzo kpó gletoxo e lɛ́ dó yě lɛ́ɛ kpó, bó jɛ agban ɖó toxo énɛ́ lɛ́ɛ mɛ.",28.18,artefact
6,a ɖò to ɔ mɛ à,comment vas,trop_court
48,ɖìɖɔ́,lécher,trop_court
48,ɖùɖɔ́,lécher,trop_court
49,"Hɔntojɛ̀, hɔntojijɛ",Rite du viɖétɔ́n,trop_court
56,E vɛ,C'est difficile.,trop_court
65,bε̆ amăgà,ramasser des mangues par terre,trop_court
68,bɔd’éwú,tâter,trop_court
68,ɖŏ alɔ̀ wŭ,tâter,trop_court
68,dŏ alɔ̀ wŭ kpɔ́n,tâter,trop_court
68,hὲn kpɔ́n,tâter,trop_court
76,Gbade ganvi,Galette de mais,trop_court
84,ku do hwemɛ,bon après,trop_court
85,bε̆ adăn,tomber malade,trop_court
85,bε̆ azɔ̀n,tomber malade,trop_court
85,j'azɔ̀n,tomber malade,trop_court
85,jὲ azɔ̀n,tomber malade,trop_court
85,jὲ lanmὲ,tomber malade,trop_court
85,lanmε wá nú mε,tomber malade,trop_court
105,xwegbe,maison,trop_court
109,a ná sìxú wá kpɔ́n tɛn mɛ nú mí ɖò kplé ɔ́ mɛ́ à,pourras,trop_court
117,So ny’àwăn,Il tonne.,trop_court
128,agɔntín,rônier,trop_court
138,tún kàn,se délier,trop_court
153,Akɔjijɛ akɔjijɛ tɔn.,Négociation contractuelle.,trop_court
160,zĕ kéɖé,mesurer sans mettre la main en plus,trop_court
164,mɛ nàhún,quelle sorte de personne,trop_court
173,fí,endroit,trop_court
173,tὲn,endroit,trop_court
173,tὲn mὲ,endroit,trop_court
173,tεndò,endroit,trop_court
173,tεnmὲ,endroit,trop_court
175,"Atóbɛ,̀ vĭ’sì",Belle fille,trop_court
180,kpodo awajijɛ kpo,gaiement,trop_court
181,awugbó,bouton d’habit,trop_court
181,gbŏ,bouton d’habit,trop_court
182,akpa tɔn,sa promesse,trop_court
186,Sa afintin nú mi,Vends-moi.,trop_court
197,Un ná xo,ɖɛ,trop_court
202,jiji,originaire de sègbohouè,trop_court
204,jε nεgbe,est tombé sur le dos d'un,trop_court
