french,fongbe
Est-ce que quelqu’un pourrait m’aider à porter ces cartons jusqu’au troisième étage ?,Mɛɖé ka sixu d’alɔ mì bɔ un na hɛn gbǎví enɛ lɛ yì xɔta atɔngɔ́ ɔ mɛ à?
Nous souhaitons réserver une table pour huit personnes samedi soir en terrasse si possible.,"Mǐ jló na sɔ́ tavo ɖé ɖ’ayǐ nú mɛ tantɔn ɖò Samedi gbadanu ɖò kɔ́xota, enyi é nyɔ́ bló ɔ nɛ."
Avez-vous reçu ma candidature envoyée la semaine dernière pour le poste de comptable ?,A ka mɔ wema ce e è sɛ́dó we ɖò aklunɔzán gbla e wá yì é mɛ nú tɛn akwɛzinzan tɔn é à?
"Je cherche une location de vacances pour août, avec piscine et acceptant les animaux.","Un ɖò xɔ e mɛ un na nɔ bo na ɖu xwè ɖè é ba wɛ nú Avivɔsun, bo ɖó piscine bo nɔ yí kanlin xwégbe tɔn lɛ."
Pourriez-vous me dépanner de quelques euros pour régler ma note au restaurant ?,A sixu nya euro kpɛɖe nu mi bo na do su nuɖutɛn ce sin akwɛ à ?
Aurais-je la possibilité de reprogrammer notre rendez-vous prévu initialement demain matin ?,Un ka na kpéwú bo na vɔ́ hwenu e mǐ ko bló tuto na ɖò bǐbɛ̌mɛ é blóɖó sɔ zǎnzǎn à?
Je voudrais savoir si le colis commandé le 5 janvier a bien été expédié.,Un jló na tuùn ɖɔ è ko sɛ́ nǔ e è sɛ́dó ɖò azǎn atɔ́ɔ́ngɔ́ ɔ Kɔnyásun tɔn gbè é dó à jí.
Connaissez-vous un bon orthodontiste spécialisé dans le traitement des adultes dans le coin ?,A ka tuùn aɖuzɔnnɔ ɖagbe e nɔ kpé nukún dó mɛxomɔ lɛ wu ɖò xá ɔ mɛ é ɖé à?
Est-ce que ce manteau est toujours disponible en taille 40 et en coloris bleu marine ?,Kɔtu enɛ ka kpó ɖò ɖaxó 40 kpo blɔu marine kpo mɛ à?
Nous aurions besoin d’un traiteur pour notre mariage le 15 juin prochain.,Mi na ɖo hudo nuɖuɖuɖatɔ tɔn nu alɔwliwli mitɔn ɖo azan afɔtɔn nukun ɛnɛgɔ ɔ sun ayizɛn tɔn mɛ.
ci de ton aide.,È na cɛ nú we ɖó alɔdó towe wu.
Je suis content de te voir.,É víví nú mì ɖɔ un mɔ we.
À tout à l’heure.,Mǐ ná mɔ mi ɖò nukɔnmɛ.
Passe une bonne journée.,Azǎn ɖagbe.
Avec grand plaisir.,Kpodo awǎjijɛ ɖaxó ɖé kpo.
Félicitations pour ton succès.,Alɔ mitɔn ɖi e.
Toutes mes condoléances.,Mi do ku nu mi tawun.
Je pense beaucoup à toi.,Un nɔ lin tamɛ dó wǔ we hwɛhwɛ.
Ravi d’avoir fait ta connaissance.,É víví nú mì ɖɔ un mɔ we.
À la prochaine fois.,Kaka jɛ hweɖevonu.
Prends bien soin de toi.,Kpé nukún dó hwiɖée wú ganjí.
Je suis désolé pour le retard.,Un byɔ hwɛsɔ́kɛ ɖó hwenu e un ɖó te é wu.
C’est très gentil de ta part.,Xomɛnyínyɔ́ towe tawun wɛ nyí mɔ̌.
Tu veux un café ?,A ba kafé à ?
Merci pour ton invitation.,È na cɛ nu mi nu mɛylɔwema mitɔn.
Je te dois un service.,Un ɖu xomɛnyínyɔ́ ɖé sín axɔ́ dó we.
Repose-toi bien.,Gbɔjɛ kpɛɖé.
Bon courage pour ton examen.,Mi ɖu vivɛ nu tɛnkpɔn mitɔn.
Je suis fier de toi.,Un yi go nu mi.
Tout mon soutien.,Alɔdó ce bǐ.
Tu me manques beaucoup.,A vɛ́ nú mì tawun.
"Bonne route, à bientôt.","Mi ɖu tomɛyiyi ɖagbe, mi na mɔ miɖee zaanɖe."
Je t’appelle dès que possible.,Un na yawu ylɔ we.
C’était une superbe soirée.,Gbadanu ɖagbeɖagbe ɖé wɛ.
Je partage ta peine.,Un ɖo aluwɛ mɛ xá we wɛ.
Bravo pour ton travail.,Azɔ̌ towe nyɔ́.
"Avec plaisir, je t’accompagne.","Kpodo xomɛhunhun kpo ɔ, un na xwedó we."
Bon anniversaire à toi.,Azan ɖagbe we.
Je suis là si besoin.,Un ɖo fi nu a ɖo hudo ce ɔ.
Profite bien de tes vacances.,Mi ɖu gbɔjɛ mitɔn sín vivǐ.
aire trente minutes d’exercice par jour améliore la santé.,Cɛjú gban mɔ̌ e è nɔ bló ɖò kéze ɖokpo mɛ é nɔ zɔ́n bɔ lanmɛ nɔ ganji nɔ kpɔ́n te.
Bien dormir aide à renforcer le système immunitaire.,Amlɔ didó ganji nɔ d’alɔ bɔ agbaza mɛtɔn nɔ ɖí xwi xá azɔn.
Mangez cinq fruits et légumes quotidiennement.,Mi nɔ ɖu atín sínsɛ́n kpo ama kpo atɔ́ɔ́n ayihɔngbe ayihɔngbe.
L’hydratation régulière est essentielle pour le corps.,Nǔ e ɖò taji nú agbaza ɔ é wɛ nyí ɖɔ è ni nɔ na sìn hwɛhwɛ.
Réduire le stress protège votre cœur.,"Enyi a ɖè linkpɔ́n kpò ɔ, é nɔ cyɔn alɔ ayi towe jí."
Consultez un médecin en cas de symptômes persistants.,"Enyi azɔn ɔ sín wuntun lɛ kpó ɖò te hǔn, yì ba dotóo kpɔ́n."
Le lavage des mains évite la propagation des virus.,Alɔ klɔ́ nɔ zɔ́n bɔ azɔnkwín lɛ nɔ gbakpé ǎ.
Une posture correcte prévient les douleurs dorsales.,Nǔ e sɔgbe é nɔ zɔ́n bɔ akɔ́n nɔ vɛ́ mɛ ǎ.
La méditation réduit l’anxiété et améliore le moral.,"Linlin dó nǔ jí nɔ ɖè adohu adohu kpò, bo nɔ lɛ́ zɔ́n bɔ è nɔ ɖó ayixa ɖagbe."
Évitez le tabac pour préserver vos poumons.,Nɔ nyì alɔ nú azɔ bo na dó cyɔn alɔ fɔngɔ́ towe jí.
Limitez votre consommation d’alcool.,Ðǒ dogbó nú ahan nunu.
Pratiquer un sport diminue les risques cardiovasculaires.,Lɔnyiji-lɔnfɔ́nkan nɔ ɖè awě e nɔ xò ayi kpo kanjɔ kpo lɛ é kpò.
Prenez soin de vos dents avec un brossage régulier.,Mi nɔ kpé nukún dó aɖu mitɔn lɛ wu kpo aɖu mitɔn lɛ xixo hwɛhwɛ kpo.
L’exposition au soleil fournit de la vitamine D.,Hwesivɔ nɔ na vitamine D mɛ.
Variez votre alimentation pour couvrir tous les besoins.,Nɔ ɖyɔ nǔɖuɖu towe bonu é na kpé hudo towe lɛ bǐ wu.
Faire des pauses prévient l’épuisement professionnel.,Gbɔjɛyiyi nɔ zɔ́n bɔ è nɔ gɔn nǔ ɖu.
Le rire a des effets bénéfiques sur la santé.,Nǔkiko nɔ wà ɖagbe nú lanmɛ na nɔ ganji.
Maintenez un poids équilibré grâce à une bonne hygiène de vie.,Hɛn zɛ̌nzɛ̌n towe ɖó jlɛ̌ jí gbɔn gbɛzán ɖagbe ɖé zinzan gblamɛ.
