fon,fr
Bɔ ɖyɔ̌vǐ ɔ́ yí gbe n'i ɖɔ: “Betuwɛ́li ví wɛ nú mì. Miluka wɛ ji tɔ́ ce nú Naxɔ́ɔ.”,"Elle répondit: Je suis fille de Bethuel, fils de Milca et de Nachor."
towe jăwè nú wè,cela t'arrivera aussi
yovózɛn ɖe à,y a-t-il des oranges
a ɖò to ɔ mɛ à,comment vas
nɛ nuɖuɖu ɔ ɖe gbɔn,comment est le repas
é sɔ́gbe pɛ́pɛ́pɛ́,c'est absolument exact
"bó dó sá hwɛsɔ́kɛmɛvɔ́ ná, bó ná sɔ́ wegɔ́ ɔ́ kpó linfín e mɛ ɔ́ ná ɔ́ kpó dó sá vɔ̌ e è nɔ dó zo ɔ́ ná, bó ná bló lě e è nɔ bló gbɔn, bó nɔ́ xwlé vɔ̌sánú Mawu Mavɔmavɔ ɔ́ dó súnsún hwɛ sín kɔ n'i ɖo Mawu Mavɔmavɔ nukɔn.”","l'un en sacrifice d'expiation, l'autre en holocauste, avec l'offrande; et le sacrificateur fera pour celui qui se purifie l'expiation devant l'Éternel."
é d'áwù zɛɛ̀,elle a mis robe très ample
E gbà ayi tɔn dó,Cela l'a beaucoup troublé.
Or e ka nyi mɛ ɖe bo... bɔ mɛ ɖe nɔ kpɔn e ji sɔ mɔ ɖe a,Or ce sont des personnes et personne ne s’intéresse ainsi à elles
"Mawu Mavɔmavɔ ɖo jǐ ce, un ɖi xɛsi ǎ. Étɛ́ gbɛtɔ́ ka sixú wa nú mì?","Le Seigneur est pour moi, je n’ai pas peur : que peuvent me faire des humains ?"
Hwezivɔ́ hún gáɖágáɖá,Le soleil est très fort.
"Bɔ nǔ ká nyí mɔ̌ nǔgbó. Ayǐhɔ́ngbe zǎnzǎn ɔ́, Jedenyɔ́ɔ yi zé gbɔ̌fún ɔ́ bó fyɔ́n, bɔ sin e gosín mɛ ɔ́ gɔ́ sinnugannú ɖokpó.","Et il arriva ainsi. Le jour suivant, il se leva de bon matin, pressa la toison, et en fit sortir la rosée, qui donna de l'eau plein une coupe."
Nǔxixa sín wlɛnwín.,Stratégie de vente.
"E ɖo te, alɔ ɖo zɛnzɛn ɖo kpo ji","Il se tenait debout, la main appuyée sur une canne."
Un mɔ wema mitɔn bɔ un ɖo ɖiɖɔ wɛ ɖɔ un na wa kplé nukplɔnmɛ tɔn ɔ ɖo lεnkpɔn zanzan.,J’ai bien reçu votre courrier et je vous confirme ma présence à la réunion de direction de lundi matin.
mi xɔ menthe gba ɖokpo,vous avez acheté un paquet de menthe
e wlá kwɛ́,il s'est précipité sur l'argent
yè kó ɖù làn ɔ́ bó kɔ̀n xú,ils ont fini de manger
a ɖe mì kpò,tu m'as déconsidéré
Dŏ zò nú macinú ɔ́,Mets le moteur en marche.
Kplɔ́n nǔ dó agbahwlɛnhwlɛn ɔ wu.,Étudier la concurrence.
Mi d'asa tɔ ɔ.,Nous avons traversé le lac
"Mi lɛ́ kɔ yi to mitɔn mɛ bó jó mì dó; un ko kpo; un sɔ́ sixú vɔ́ asú da ǎ. Ényí un tlɛ ɖɔ: vǐ kpo ɖo wǔ ce, lobo yi xɔ nú súnnu zǎn mɛ din bó ji vǐ ɔ́,","Retournez, mes filles, allez ! Je suis trop vieille pour me remarier. Et quand je dirais : J'ai de l'espérance ; quand cette nuit même je serais avec un mari, et que j'enfanterais des fils,"
e xá d'ásá,il a les jambes arquées
Awu ce gege ɖe lɛ kwiji bɔ un jlo na nya,Beaucoup de mes habits sont sales et je veux les laver
"Un na ɖó hudo dotóo e nɔ dó Glɛnsigbe, bo nɔ yawu yí azinzɔnnɔ yɔyɔ̌ lɛ é tɔn.",J’aurais besoin d’un médecin généraliste qui parle anglais et qui reçoit de nouveaux patients rapidement.
A nǎ má nǔ lɛ́ɛ nú ahwanfuntɔ́ e yi fun ahwan lɛ́ɛ kpó togun ɔ́ bǐ kpó.,Partage le butin entre les combattants qui sont allés à l'armée et toute l'assemblée.
"Mawu Mavɔmavɔ, è sixú jlɛ́ we dó nǔmɛsɛn ɖěbǔ wú ǎ. Xó e è ɖɔ bɔ mǐ se lɛ́ɛ bǐ ɖe xlɛ́ ɖɔ Mawu ɖěvo kún tíin zɛ hwɛ wú ó.","O Éternel !nul n'est semblable à toi et il n'y a point d'autre Dieu que toi, d'après tout ce que nous avons entendu de nos oreilles."
nyibusi ɖokpo yi zɔ ɖo gbε tɔn lε cuku ɔ jε nyinyε ji,une vache s'éloigne de son troupeau le chien lui donne la chasse
jɔhɔn nyì vuzuvuzù,le vent a soufflé avec violence
mi na mɔ ɛ sɔ,on le reverra demain
Akwε taa han asi tɔn,De peur que l'argent ne manque à sa femme.
Xɔntɔn lε kpe bo ɖo alɔ na e ɖe wε,Les amis se rencontrent et se serrent la main.
"Ayǐhɔ́ngbe tɔn ɔ́, mɛxó ɔ́ ɖɔ nú mɛ kpɛví ɔ́ ɖɔ: “Nyɛ kpó tɔ́ mǐtɔn kpó ɖɔ éé ɖo mɔ̌ é zǎn mɛ. É jɛ zǎn mɛ ɔ́, mǐ ná lɛ́ ɖó vɛ̌ɛn kɔ jí n'i, bɔ é ná nu mú, bɔ a nǎ yi mlɔ́ akpá tɔn, bɔ hwi lɔ ná sixú hɛn tɔ́ mǐtɔn sín kún ɖó te.”","Le lendemain, l'aînée dit à la plus jeune: Voici, j'ai couché la nuit dernière avec mon père; faisons-lui boire du vin encore cette nuit, et va coucher avec lui, afin que nous conservions la race de notre père."
Xwé ce ɖò kɔ́nna mɛ̀ fínɛ́,Ma maison est dans le virage.
"Bɔ vɔ̌sánú-xwlémawutɔ́ ɔ́ ná kpɔ́n fí e nǔ ɔ́ ɖe ɔ́. Nú é mɔ ɖɔ nǔ tɔ́n ɖo wǔ e tɔ́n ɖo akpa do ɔ́ mɛ ɔ́ wán do, bɔ fún e ɖ'é mɛ ɔ́ wé ɔ́, vɔ̌sánú-xwlémawutɔ́ ɔ́ ná ɖɔ ɖɔ mɛ blíblí wɛ mɛ ɔ́ nyí, ɖó gudu sín akpa wɛ tɔ́n ɖo akpa do ɔ́ mɛ.","Le sacrificateur l'examinera. Si la tache paraît plus enfoncée que la peau, et que le poil soit devenu blanc, le sacrificateur le déclarera impur: c'est une plaie de lèpre, qui a fait éruption dans l'ulcère."
"Tócí adɔ̌kpo ɖě děgba we afɔwó afɔwe kanwe ko (30.500), bɔ è ɖe kanɖé ko-nukún-ɖokpó (61) sín mɛ nú Mavɔmavɔ.","trente mille cinq cents ânes, dont soixante et un pour le tribut à l'Éternel ;"
"Ée kɛntɔ́ Jwifu lɛ́ɛ tɔn Hamáa, Hamumɛdata ví e jɔ ɖo Agagi kún mɛ ɔ́ ɖɔ mɔ̌ ɔ́, axɔ́sú ɔ́ ɖe alɔgan sín alɔ, bó sɔ́ dó n'i,","Le roi ôta son anneau de la main, et le remit à Haman, fils d'Hammedatha, l'Agaguite, ennemi des Juifs."
un fɔ̀ dò kó tɔ̀n,j'ai découvert tout ce qu'il cachait
"A ko ɖɔ nú mì ɖɔ émí ná ɖɔ xó, ɖɔ nyɛ ní ɖótó émí. A ɖɔ émí ná kan nǔ byɔ́ mì, bɔ nyɛ ná kplɔ́n nǔ émí.","Écoute-moi, et je parlerai ; Je t'interrogerai, et tu m'instruiras."
Wù má yá wé à ?,Est-ce que tu es bien portant ?
É nɔ́ xò sáwúngíɖó,Il se promène.
É kán wɔ̌ bayiì,Il a pris de la pâte en quantité.
A wa nɛ à ?,Te voilà ?
ɖìɖɔ́,lécher
ɖùɖɔ́,lécher
"Hɔntojɛ̀, hɔntojijɛ",Rite du viɖétɔ́n
"Sɛkpɔ́ mì bó hwlɛ́n mì, hwlɛ̌n mì gán, ɖó kɛntɔ́ ce lɛ́ɛ wú.","Approche-toi de mon âme, délivre-la ! Sauve-moi, à cause de mes ennemis !"
Gan e nɔ gan ε.,Il faut qu'il soit soutenu
un ba atinsinsɛn sin,je veux un jus de fruit
Nǔ cikɔ nú mì ɖó un d&#39;amlɔ ganji sɔ zanzan.,Je suis fatigué parce que j'ai très mal dormi cette nuit.
