id,chemin_audio,transcription_fon,duree_sec
armandine_fongbe_corp005_001,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_001.wav,xo ɔ gbla to nu mi,2.24
armandine_fongbe_corp005_002,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_002.wav,avɔ elɔ gɔ,1.78
armandine_fongbe_corp005_003,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_003.wav,e kwiji,1.74
armandine_fongbe_corp005_004,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_004.wav,un do gbe nu we,2.01
armandine_fongbe_corp005_005,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_005.wav,e ɖu lεsin nusunnu mεvo,2.65
armandine_fongbe_corp005_006,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_006.wav,vi ce hɔn bo nɔ gbɔn gbegbe,2.92
armandine_fongbe_corp005_007,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_007.wav,hwlεn mi gan,1.6
armandine_fongbe_corp005_008,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_008.wav,e ma nyɔ xo ɖo gε,1.83
armandine_fongbe_corp005_009,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_009.wav,e gbo hwε gblulu,2.02
armandine_fongbe_corp005_010,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_010.wav,e gbijɔ gbadeti ɔ,2.41
armandine_fongbe_corp005_011,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_011.wav,nyε wε nyi aklunɔ mawu mitɔn,2.79
armandine_fongbe_corp005_012,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_012.wav,e ɖo anɔ gbagba ɖakɔn mε,2.77
armandine_fongbe_corp005_013,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_013.wav,ɖyiɔvi anɔ gbagba wε fan sin nu tɔli gan ɖalaga sin fan ba un ɖe a alɔ e fan sin ɔ ba un ɖe,8.12
armandine_fongbe_corp005_014,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_014.wav,e nɔ daziin bε nɔ wu fyo a,2.71
armandine_fongbe_corp005_015,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_015.wav,mi na gbo xɔ ɔ ɖo we,1.78
armandine_fongbe_corp005_016,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_016.wav,gan tεnwe mε,1.48
armandine_fongbe_corp005_017,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_017.wav,azɔn gbε sin,1.57
armandine_fongbe_corp005_018,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_018.wav,afɔkpa ɔ fyɔn mi,1.87
armandine_fongbe_corp005_019,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_019.wav,e kanbyɔ ε ɖɔ fitε e nɔ yi azɔmε ɖe aji,3.31
armandine_fongbe_corp005_020,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_020.wav,e ɖe dazɔmε,1.58
armandine_fongbe_corp005_021,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_021.wav,e gu we,1.35
armandine_fongbe_corp005_022,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_022.wav,wa se gbe nu mi,1.87
armandine_fongbe_corp005_023,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_023.wav,bo nukun mitɔn lε nɔ mɔ nu,1.88
armandine_fongbe_corp005_024,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_024.wav,gadagada kpowun ɔ ayi jεn nyavi ɔ jε sin kεkε ji,4.01
armandine_fongbe_corp005_025,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_025.wav,e kanbyɔ ɖɔ tɔ tɔn ɖo mɔto ace,2.73
armandine_fongbe_corp005_026,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_026.wav,e kanbyɔ ye ɖɔ mεjitɔ yetɔn lε nɔ do fongbe aji,4.13
armandine_fongbe_corp005_027,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_027.wav,sinnu gbla sin mi,2.15
armandine_fongbe_corp005_028,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_028.wav,e su gbadanu,1.89
armandine_fongbe_corp005_029,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_029.wav,ye ɖo na wa gbadanu,1.46
armandine_fongbe_corp005_030,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_030.wav,zinflu do gɔɔn din,1.82
armandine_fongbe_corp005_031,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_031.wav,e gbε ɖɔ vi tɔn ma yi azɔmε o,2.71
armandine_fongbe_corp005_032,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_032.wav,gan ɔ ɖɔ nu gbaan,1.68
armandine_fongbe_corp005_033,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_033.wav,gan ko xo xoxo,2.41
armandine_fongbe_corp005_034,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_034.wav,lee gbɔn un blo mɔ ɖie,2.74
armandine_fongbe_corp005_035,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_035.wav,ani gbe a tɔn,1.9
armandine_fongbe_corp005_036,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_036.wav,cakatu wε tɔn bɔ mi mɔ glo tɔn hla sɔ ε ɖu le ɔ mi mɔ a,4.52
armandine_fongbe_corp005_037,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_037.wav,go sin fi,1.46
armandine_fongbe_corp005_038,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_038.wav,nu gugu nε a wa nε,1.5
armandine_fongbe_corp005_039,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_039.wav,woo gbε,1.31
armandine_fongbe_corp005_040,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_040.wav,jɔhɔn gugu ɖe nyi egbe zan mε,2.92
armandine_fongbe_corp005_041,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_041.wav,e fun funfun do ji ce,2.12
armandine_fongbe_corp005_042,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_042.wav,e ɖo tavo ɔ glɔ,1.95
armandine_fongbe_corp005_043,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_043.wav,e ɖo wema towe gwlε,1.8
armandine_fongbe_corp005_044,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_044.wav,e ɖafɔ tɔn lε glɔ,1.87
armandine_fongbe_corp005_045,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_045.wav,e gan gan ɔ,1.75
armandine_fongbe_corp005_046,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_046.wav,e gan do ɔ,1.3
armandine_fongbe_corp005_047,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_047.wav,vi elɔ ɖo govi katoe,2.68
armandine_fongbe_corp005_048,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_048.wav,e ɖo hun ɔ te gliwun,1.75
armandine_fongbe_corp005_049,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_049.wav,e glo nu,1.55
armandine_fongbe_corp005_050,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_050.wav,e gbingbɔn yovozεn,1.78
armandine_fongbe_corp005_051,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_051.wav,e gbungbɔn klεn nu mi,2.27
armandine_fongbe_corp005_052,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_052.wav,enε ɔ ko kpe a mε,1.85
armandine_fongbe_corp005_053,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_053.wav,e gbla nu mε nu mi,1.64
armandine_fongbe_corp005_054,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_054.wav,lan xwe do geli nɔ xo amyɔsun a,2.87
armandine_fongbe_corp005_055,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_055.wav,gɔ na tɔn lo,1.83
armandine_fongbe_corp005_056,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_056.wav,gbεgɔnu wε nu hwε,1.71
armandine_fongbe_corp005_057,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_057.wav,ye sa vo nu tɔ ce gbɔ ji ce,2.44
armandine_fongbe_corp005_058,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_058.wav,un ɖo mawu gbe xo wε,2.33
armandine_fongbe_corp005_059,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_059.wav,jaan ɖo tavo ɔ ji,1.38
armandine_fongbe_corp005_060,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_060.wav,e fyan mε,1.13
armandine_fongbe_corp005_061,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_061.wav,e gbo mi do ɖo xwe gbe,1.99
armandine_fongbe_corp005_062,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_062.wav,ji gbo mi,1.34
armandine_fongbe_corp005_063,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_063.wav,e fyan mi,1.26
armandine_fongbe_corp005_064,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_064.wav,e na wa fyan we,1.99
armandine_fongbe_corp005_065,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_065.wav,e ku fyan mi,1.76
armandine_fongbe_corp005_066,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_066.wav,ma nu xo towe gba gba o,2.06
armandine_fongbe_corp005_067,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp005_067.wav,do kokwe kan sɔ nyi gblεlε,2.1
armandine_fongbe_corp006_001,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_001.wav,e jε gun,1.09
armandine_fongbe_corp006_002,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_002.wav,mi ɖo gbesugbesɔ,2.26
armandine_fongbe_corp006_003,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_003.wav,hlunhlun gbε ɖo fi din,2.45
armandine_fongbe_corp006_004,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_004.wav,ye jε tagba glolo,1.69
armandine_fongbe_corp006_005,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_005.wav,nyε wε a xo,1.03
armandine_fongbe_corp006_006,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_006.wav,un ɖo xo ɖɔ nu we wε,1.32
armandine_fongbe_corp006_007,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_007.wav,azɔwiwa kpo xoɖiɖɔ kpo ɔ ye ɖo ganmεganmε,3.42
armandine_fongbe_corp006_008,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_008.wav,gbe tε nε ɖɔ wε mi ɖe nε,1.87
armandine_fongbe_corp006_009,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_009.wav,hεn dεdε e nɔ ba gidigidi a,3.02
armandine_fongbe_corp006_010,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_010.wav,e gblɔ sin nu mi,1.95
armandine_fongbe_corp006_011,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_011.wav,atin ce wini hu towe,1.86
armandine_fongbe_corp006_012,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_012.wav,e da tu gbla,1.4
armandine_fongbe_corp006_013,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_013.wav,e da tu gbaan,1.42
armandine_fongbe_corp006_014,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_014.wav,e da tu gbɔ,1.75
armandine_fongbe_corp006_015,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_015.wav,e gan,1.54
armandine_fongbe_corp006_016,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_016.wav,e nu ahan mu bo nɔ dan gɔgɔ,2.38
armandine_fongbe_corp006_017,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_017.wav,hwi wε ɖɔ xo,1.61
armandine_fongbe_corp006_018,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_018.wav,un wa gɔn towe,1.1
armandine_fongbe_corp006_019,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_019.wav,e jayi gbli,1.53
armandine_fongbe_corp006_020,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_020.wav,e jayi gbiwun,1.44
armandine_fongbe_corp006_021,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_021.wav,nawe elɔ jε gbε ɖo mεmε bi bo sɔ ɖo nuɖe a,3.45
armandine_fongbe_corp006_022,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_022.wav,gbadεndεn ɖo funfun wε,1.57
armandine_fongbe_corp006_023,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_023.wav,hwi wu wε vi ɔ jayi,1.58
armandine_fongbe_corp006_024,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_024.wav,ahun fun,1.4
armandine_fongbe_corp006_025,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_025.wav,gan jayi ma bε gbe,1.73
armandine_fongbe_corp006_026,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_026.wav,e nɔ glɔn ji,1.24
armandine_fongbe_corp006_027,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_027.wav,badagla jayi ɔ gba jεn nɔ gba,2.84
armandine_fongbe_corp006_028,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_028.wav,nu ɔ ɖie tɔ gε do ji tɔn e,2.68
armandine_fongbe_corp006_029,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_029.wav,e hεn alin ɔ gɔn,1.94
armandine_fongbe_corp006_030,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_030.wav,atin gɔndɔngɔndɔn ji e nɔ gbɔn bo nɔ yi ɖiɖi ɔ ji,4.27
armandine_fongbe_corp006_031,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_031.wav,xɔ gban ɔ amlɔ nɔ gban a,1.77
armandine_fongbe_corp006_032,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_032.wav,do nε ɔ gbandaan,1.85
armandine_fongbe_corp006_033,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_033.wav,e hεn gan ɔ gɔndɔn,1.47
armandine_fongbe_corp006_034,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_034.wav,e dɔn kan ɔ fyɔn,1.48
armandine_fongbe_corp006_035,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_035.wav,ali nε ɔ gεdε din,1.7
armandine_fongbe_corp006_036,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_036.wav,ayi tɔn gεdε,1.25
armandine_fongbe_corp006_037,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_037.wav,afɔ tɔn gεdε,2.06
armandine_fongbe_corp006_038,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_038.wav,e gble gba,0.89
armandine_fongbe_corp006_039,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_039.wav,e xa gwe,0.98
armandine_fongbe_corp006_040,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_040.wav,e do gudo mi,1.3
