source,prediction,reference,sens
Lεngbɔvi kpεvi ɖokpo nɔ se nukplɔn mε nɔ tɔn a,Une petite chèvre n'écoute pas l'instruction de sa mère.,Une jeune chèvre n'écoutait pas les conseils de la mère.,fon_fr
A na yí gbè bo na wà ɖagbe kpɛɖé nú mì à? Un ɖó hudo wěɖexámɛ mɛ e tuùn nǔ ganji lɛ é tɔn dó azɔ̌ e ɖò taji nú mì tawun é ɖé jí.,Pourriez-vous m'aider un peu ? J'ai besoin de conseils d'experts sur un projet très important pour moi.,Accepteriez-vous de me rendre un petit service ? J’aurais besoin d’un conseil avisé pour un projet qui me tient à cœur.,fon_fr
Un j'awǎ ɖó dɔkun ɖaxó e un jɛ ɔ́ wú ǎ; un j'awǎ ɖó nǔ wɔ̌buwɔ́bú e un wa nǔ bó ɖó lɛ́ɛ wú ǎ.,"Je ne me réjouis pas de l'abondance de mes biens, Je ne m'enorgueillis pas des richesses que j'ai acquises.","Si je me suis réjoui de la grandeur de mes biens, De la quantité des richesses que j'avais acquises ;",fon_fr
E nyla bo zunkɔta ɖo ayikungban ɖagbe elɔ ji,C'est méchant de s'imposer dans ce beau pays.,C'est dommage de voir un tas d'ordures dans un si beau paysage,fon_fr
gble azɔn nu mɛ,blesser quelqu'un,guérir soigner quelqu'un,fon_fr
É ná xá hùn nú wè,Il t'encouragera.,Ca te portera malheur.,fon_fr
Judáa kpó Sinmɛnyɔ́ɔ kpó sín toxo lɛ́ɛ ɖě wɛ,C'étaient des villes de Juda et de Siméon.,"Ils donnèrent de la tribu des fils de Juda et de la tribu des fils de Siméon les villes qui vont être nominativement désignées,",fon_fr
Hwε lo ?,Quelle heure est-ce ?,Et toi ?,fon_fr
Mǐ ɖò tamɛ lin wɛ ɖó kpɔ́.,Nous réfléchissons ensemble.,Nous réfléchissons ensemble.,fon_fr
"Gbɛtɔ́ e nɔ lin tamɛ ganjí lɛ́ɛ ná yí gbe nú xó e un ɖɔ ɔ́, lobo ná ɖɔ xó ɖokpó ɔ́ nǔnywɛ́tɔ́ e ɖo tó ɖó mì wɛ lɛ́ɛ ɖɔhun, yě ná ɖɔ:","Les sages répondront à mes paroles, Et ceux qui m'écoutent diront:","Les hommes de sens seront de mon avis, Le sage qui m'écoute pensera comme moi.",fon_fr
Je vous présente mes meilleurs vœux.,Je vous présente mes meilleurs voeux.,Un sɛ́ ɖagbe ce dó we.,fr_fon
La livraison est offerte à partir de 100 euros.,La livraison est proposée à partir de 100 euros.,È nɔ sɛ́ nǔ dó mɛ vɔ̌nu nú mɛ e xɔ akwɛ hú euro 100 lɛ é.,fr_fon
"Les fils de Noé, qui sortirent de l'arche, étaient Sem, Cham et Japhet. Cham fut le père de Canaan.","Sem, Hamu kpódó Jafeti kpán wɛ nyí Noé ví e tɔ́n sín tɔjíhún ɔ́ mɛ lɛ́ɛ. Hamu wɛ ji Kanáa.","Nɔwée ɔ́, vǐ tɔn atɔn lɛ́ɛ kpó é kpó tɔ́n sín tɔjíhún ɔ́ mɛ; nyǐkɔ yětɔn ɖíe: Sɛ́mu, Cámu kpódó Jafɛ́ti kpó. Cámu ɔ́ wɛ nyí Kanáa sín tɔ́.",fr_fon
"Si j'avais de l'argent, j'achèterais une belle maison.","H'il y avait de l'argent, je achèterais une belle maison.","Enyi un ɖó akwɛ ɔ, un na xɔ xwé ɖagbe ɖé.",fr_fon
Nous saurons ce soir .,Nous sommes à la soirée,Mi na tuun gbadanu,fr_fon
As-tu une idée là-dessus ?,As-tu une idée de cela ?,A lìn nù ɖé d’é wú à ?,fr_fon
Cultiver la gratitude.,Cultiver la gratitude.,Nɔ ɖó nǔsumɛnukúnmɛ.,fr_fon
Le chemin qu’il doit suivre.,Le chemin quil doit suivre,Ali é ɖó na mlɛ́ é,fr_fon
"Alors, c'est dans le hall sur votre droite.","Alors, c'est dans le couloir à droite.","Din ɔ, e ɖo xɔgbloada ɔ mɛ ɖo adisi mitɔn",fr_fon
on s'allonge sur le sable de la plage,on s'est allongé sur le sable de la plage,mi ɖo mi ɖe dlεn ɖo xuta nyεkεn mε,fr_fon
